goos: darwin
goarch: arm64
pkg: github.com/neilotoole/fifomu
cpu: Apple M1 Max
BenchmarkMutexWork/native-10                	 9191216	       132.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/native-10                	 9049759	       131.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/native-10                	 9385120	       129.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10           	10585249	       112.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10           	10096675	       113.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10           	10605523	       117.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10           	10633348	       118.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10           	 5639344	       210.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10           	 5857920	       212.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10           	 5770551	       205.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10           	 5727938	       215.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10      	 3989649	       303.0 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10      	 3806545	       312.0 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10      	 3950532	       309.6 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10      	 3854149	       309.8 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/native-10           	 2345803	       512.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/native-10           	 2267938	       529.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/native-10           	 2252793	       638.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/native-10           	 1914208	       529.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10              	 8497916	       152.6 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10              	 8539435	       151.2 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10              	 8461784	       152.6 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10              	 8826327	       151.8 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10              	 2771167	       450.7 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10              	 2723524	       430.5 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10              	 2761191	       439.3 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10              	 2787033	       431.4 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10         	 2436777	       496.9 ns/op	      55 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10         	 2398078	       490.3 ns/op	      55 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10         	 2468304	       496.9 ns/op	      56 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10         	 2444967	       495.1 ns/op	      55 B/op	       1 allocs/op
BenchmarkMutexNoSpin/native-10              	 3525746	       358.8 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/native-10              	 3535952	       346.2 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/native-10              	 3573855	       346.8 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/native-10              	 3532075	       345.3 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                	 4962518	       241.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                	 4969750	       277.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                	 4769620	       246.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                	 4944261	       242.0 ns/op	       0 B/op	       0 allocs/op
