goos: darwin
goarch: arm64
pkg: github.com/neilotoole/fifomu
cpu: Apple M1 Max
BenchmarkMutexWork/native-10                	 8879679	       136.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/native-10                	 8936358	       136.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/native-10                	 9778419	       137.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10           	11385603	       108.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10           	10959492	       108.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10           	11338350	       108.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10           	11041995	       108.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10           	 6127694	       194.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10           	 6088377	       196.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10           	 6096463	       196.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10           	 6035674	       196.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10      	 4205227	       285.1 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10      	 4169529	       277.9 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10      	 4098286	       288.4 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10      	 4326422	       279.1 ns/op	     176 B/op	       3 allocs/op
BenchmarkMutexWorkSlack/native-10           	 2466883	       462.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/native-10           	 2525511	       470.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/native-10           	 2565805	       464.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/native-10           	 2536284	       494.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10              	 8937495	       151.7 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10              	 8571994	       156.3 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10              	 8616774	       150.5 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10              	 8756851	       151.3 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10              	 2555925	       416.2 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10              	 2772399	       446.3 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10              	 2788624	       416.3 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10              	 2859824	       442.4 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10         	 2509596	       466.7 ns/op	      56 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10         	 2661664	       467.5 ns/op	      56 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10         	 2574128	       476.0 ns/op	      56 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10         	 2618014	       467.1 ns/op	      55 B/op	       1 allocs/op
BenchmarkMutexNoSpin/native-10              	 3914264	       312.7 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/native-10              	 4208384	       314.9 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/native-10              	 3786439	       308.2 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/native-10              	 3629340	       322.2 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                	 5198098	       233.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                	 5165439	       234.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                	 5056737	       239.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                	 5145662	       235.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                	  512110	      2365 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                	  506025	      2404 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                	  515826	      2357 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                	  505642	      2365 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/semaphoreMu-10           	  469714	      2481 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10           	  490047	      2477 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10           	  489932	      2465 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10           	  481983	      2475 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/native-10                	 1461258	       809.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/native-10                	 1492263	       823.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/native-10                	 1413553	       845.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/native-10                	 1449583	       811.1 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/neilotoole/fifomu	168.460s
PASS
ok  	github.com/neilotoole/fifomu/internal/native	0.183s
