goos: darwin
goarch: arm64
pkg: github.com/neilotoole/fifomu
cpu: Apple M1 Max
BenchmarkMutexSlack/fifomu-10                    	 7067347	       170.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10                    	 7033081	       170.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10                    	 7075657	       167.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10                    	 7226806	       167.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10                    	 7270936	       172.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/semaphoreMu-10               	 4907402	       245.7 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10               	 4841912	       247.0 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10               	 4721410	       252.7 ns/op	     176 B/op	       3 allocs/op
BenchmarkMutexSlack/semaphoreMu-10               	 4872937	       245.2 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10               	 4680724	       253.6 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10               	 4807924	       246.1 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWork/stdlib-10                     	 9312308	       129.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                     	 9116072	       130.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                     	 9483763	       134.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                     	 9108176	       129.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                     	 9315458	       128.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                     	 9358987	       131.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                     	 6398917	       187.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                     	 6364358	       189.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                     	 6389326	       187.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                     	 6378494	       188.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                     	 6345080	       188.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                     	 6390943	       188.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/semaphoreMu-10                	 4446249	       266.6 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWork/semaphoreMu-10                	 4399779	       270.0 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWork/semaphoreMu-10                	 4607246	       262.0 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWork/semaphoreMu-10                	 4299183	       273.0 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWork/semaphoreMu-10                	 4579704	       260.9 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWork/semaphoreMu-10                	 4379040	       269.6 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/stdlib-10                	11587899	       107.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10                	11027430	       111.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10                	10908722	       106.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10                	11264436	       109.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10                	10824487	       108.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10                	11011947	       108.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10                	 6207232	       194.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10                	 6064954	       199.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10                	 6099769	       195.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10                	 5986624	       192.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10                	 6085623	       194.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10                	 6206794	       193.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10           	 4343031	       276.7 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10           	 4164864	       284.7 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10           	 4257446	       276.6 ns/op	     176 B/op	       3 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10           	 4220721	       285.3 ns/op	     175 B/op	       2 allocs/op
