goos: darwin
goarch: arm64
pkg: github.com/neilotoole/fifomu
cpu: Apple M1 Max
BenchmarkMutex/native-10                         	 5778139	       223.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/native-10                         	 5024288	       241.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/native-10                         	 5245557	       220.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/native-10                         	 5190279	       229.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10                    	10214287	       108.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10                    	10690922	       117.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10                    	10263182	       109.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10                    	10890345	       117.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10                    	 9942196	       107.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10                    	10955559	       115.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10                    	 6956319	       173.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10                    	 7003878	       170.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10                    	 6984534	       173.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10                    	 7008964	       175.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10                    	 6933630	       169.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10                    	 6938122	       173.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/semaphoreMu-10               	 4810129	       247.4 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10               	 4803146	       249.5 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10               	 4762868	       249.0 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10               	 4821706	       250.9 ns/op	     176 B/op	       3 allocs/op
BenchmarkMutexSlack/semaphoreMu-10               	 4670468	       250.3 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10               	 4838340	       249.1 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/native-10                    	 2503941	       489.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/native-10                    	 2535696	       494.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/native-10                    	 2451408	       475.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/native-10                    	 2504738	       480.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/native-10                    	 2455288	       472.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/native-10                    	 2548383	       502.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                     	 9067170	       130.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                     	 9334368	       132.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                     	 9074690	       131.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                     	 9344996	       130.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                     	 8930151	       129.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                     	 9145159	       132.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                     	 5870703	       204.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                     	 5774650	       204.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                     	 5925864	       203.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                     	 5871608	       204.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                     	 5900502	       204.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                     	 5874162	       204.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/semaphoreMu-10                	 4304940	       278.3 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWork/semaphoreMu-10                	 4509841	       267.7 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWork/semaphoreMu-10                	 4273904	       284.8 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWork/semaphoreMu-10                	 4478314	       264.8 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWork/semaphoreMu-10                	 4339461	       272.9 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWork/semaphoreMu-10                	 4380973	       264.6 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWork/native-10                     	 7725817	       190.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/native-10                     	 6203662	       197.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/native-10                     	 6227718	       181.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/native-10                     	 6357499	       173.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/native-10                     	 6858188	       171.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/native-10                     	 8644636	       185.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10                	10760156	       115.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10                	10317858	       106.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10                	10899346	       114.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10                	10200596	       107.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10                	10687569	       115.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10                	10507734	       108.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10                	 6254958	       195.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10                	 6203638	       192.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10                	 6099777	       193.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10                	 6153687	       195.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10                	 6007521	       194.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10                	 6100741	       195.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10           	 4201141	       282.6 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10           	 4343380	       279.0 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10           	 4216178	       284.6 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10           	 4299434	       281.3 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10           	 4179549	       285.7 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10           	 4358395	       277.0 ns/op	     176 B/op	       3 allocs/op
BenchmarkMutexWorkSlack/native-10                	 2327371	       504.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/native-10                	 2606227	       480.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/native-10                	 2091337	       490.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/native-10                	 2476510	       500.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/native-10                	 2568453	       505.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/native-10                	 2412428	       529.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10                   	 7819588	       159.5 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10                   	 8367657	       152.1 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10                   	 7862742	       159.8 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10                   	 8409480	       151.9 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10                   	 7857490	       150.9 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10                   	 7812955	       160.0 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10                   	 2934954	       431.5 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10                   	 2879222	       414.0 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10                   	 2890814	       474.7 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10                   	 2907678	       417.8 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10                   	 2944982	       412.7 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10                   	 2892872	       412.2 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10              	 2665692	       452.2 ns/op	      56 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10              	 2635801	       467.9 ns/op	      56 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10              	 2595766	       457.8 ns/op	      56 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10              	 2650461	       455.7 ns/op	      55 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10              	 2584927	       459.4 ns/op	      56 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10              	 2638808	       459.7 ns/op	      55 B/op	       1 allocs/op
BenchmarkMutexNoSpin/native-10                   	 4446872	       255.8 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/native-10                   	 4824631	       252.4 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/native-10                   	 4811535	       250.8 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/native-10                   	 4859624	       267.4 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/native-10                   	 4747260	       253.8 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/native-10                   	 4734039	       252.4 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                     	 5356306	       330.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                     	 5189164	       323.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                     	 5127194	       332.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                     	 5338566	       328.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                     	 5193544	       333.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                     	 5238528	       347.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                     	  514988	      2386 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                     	  506251	      2368 ns/op	       0 B/op	       0 allocs/op
